year,ac1_close,ac1_mid,gap
1996,-0.20599363840569168,0.042749644622573024,-0.2487432830282647
1997,-0.18860616677888947,0.02023873264686346,-0.20884489942575293
1998,-0.11890491611079153,0.0010123464305521693,-0.1199172625413437
1999,-0.09296534169991803,-0.0007119700880024206,-0.09225337161191562
2000,-0.08276543611476286,-0.0003745811263380219,-0.08239085498842484
2001,-0.08674994558047369,0.0023641593596544323,-0.08911410494012813
2002,-0.1282479075012279,-0.025060715875725174,-0.10318719162550272
2003,-0.07568622810849582,-0.011243812656761628,-0.0644424154517342
2004,-0.04667933234426243,-0.0028520302591572458,-0.043827302085105185
2005,-0.049200774755379324,-0.0004018959236486587,-0.04879887883173067
2006,-0.027168262281862483,-0.00045325078461990213,-0.02671501149724258
2007,-0.04491802372724411,-0.003084417132710616,-0.04183360659453349
2008,-0.09518250880464013,-0.01879489951974491,-0.07638760928489521
2009,-0.0815009627170379,-0.006532346920682626,-0.07496861579635528
2010,-0.05306045247753159,-1.0199046449859329e-06,-0.0530594325728866
2011,-0.07311840489599886,-0.00021524039364395294,-0.0729031645023549
2012,-0.05521347218194448,0.005498417281518216,-0.0607118894634627
2013,-0.059729713700040585,-0.0006154502135535161,-0.059114263486487066
2014,-0.048849882852153866,-0.002731623946251095,-0.04611825890590277
2015,-0.05057803428119505,-1.089026645037177e-06,-0.05057694525455001
2016,-0.05080039859749523,-1.063750969384547e-06,-0.050799334846525844
2017,-0.04735366716195856,-2.4512805347874675e-06,-0.04735121588142377
2018,-0.050149163906992304,-2.713031583409874e-06,-0.05014645087540889
2019,-0.0293677865229956,-1.1445932419033902e-06,-0.029366641929753697
2020,-0.0445622089101029,-0.008839814842418645,-0.03572239406768426
2021,-0.03223029655736231,-0.00025323308059209914,-0.03197706347677021
2022,-0.0004054179076763957,-0.00014955890678088515,-0.00025585900089551054
2023,-0.016943263457745536,-1.0533160804697315e-06,-0.016942210141665068
2024,-0.011726015990686772,-0.00447963037265781,-0.0072463856180289615
