return_measure,lag,n_obs,n_days,beta_pooled,t_pooled,beta_fm,t_fm,own_lag_pooled
close-to-close (CRSP ret),1,12379260,7173,0.02201649895549994,6.841287203720685,0.00927855593998268,5.025780904721679,-0.0026087741932823826
close-to-close (CRSP ret),2,12372176,7172,0.011988468935052895,3.8407554160671604,0.0012189327258851448,0.7198508893315019,-0.014512031684447521
close-to-close (CRSP ret) [1996-2006],1,5455150,2643,0.03475117428450652,8.123185460073831,0.020615764850256686,7.966256622109756,-0.0007514292428299295
close-to-close (CRSP ret) [2007-2024],1,6921927,4529,0.00952605712483012,2.084158741715451,0.002455326578063469,1.017976542745567,-0.002157324088588823
"close-to-close, ex-div (retx)",1,12379240,7173,0.022020416821333207,6.855744355309027,0.009122177270280436,4.958572179983227,-0.0025702522729053206
"close-to-close, ex-div (retx)",2,12372156,7172,0.011991105720635078,3.8478765537011403,0.0013379820901615826,0.7927838844240663,-0.014532626481912796
"close-to-close, ex-div (retx) [1996-2006]",1,5455146,2643,0.034824343620983,8.15047004136832,0.02063880997593586,7.974258756385857,-0.0007633175266849221
"close-to-close, ex-div (retx) [2007-2024]",1,6921916,4529,0.009406178261191655,2.06476429061944,0.0022100235610389217,0.9220626272255309,-0.002033047416283443
bid-ask midpoint,1,11071666,7173,0.019251541345562104,6.415645071359849,0.009634610024686074,5.19019302592549,0.008552859080843843
bid-ask midpoint,2,10977293,7172,0.013232977266821723,4.072779608432081,0.001327219879028051,0.7854958022645121,-0.012248623931027795
bid-ask midpoint [1996-2006],1,4396254,2643,0.03324466314725172,8.638388468307157,0.022000115645284507,8.116370530578672,0.018074183768236367
bid-ask midpoint [2007-2024],1,6673741,4529,0.011850296865772192,2.7729447987264897,0.0022230039123300603,0.9332556841769573,0.00179340406797368
