,mean_b
1996,0.03391430545176344
1997,0.02158704150437882
1998,0.016013883136239936
1999,0.015447672680522832
2000,0.019742430458426715
2001,0.04246244014758076
2002,0.010196944582998005
2003,0.02127369956656801
2004,0.026670719710678713
2005,0.012311600896310972
2006,0.01406610115397131
2007,-0.0007845813838439913
2008,-0.002132464432199345
2009,-0.005100670118952144
2010,0.011005893611999369
2011,-0.0011052674959283635
2012,0.011985829291008056
2013,0.009712916162573046
2014,0.014622860124040715
2015,0.0008272976360189376
2016,0.019104787710514114
2017,-0.0009833752064465342
2018,0.0027693208623481703
2019,-0.005822142218427182
2020,-0.007132884398483128
2021,-0.012149532881887535
2022,0.015614094942888396
2023,0.004797277670343921
2024,-0.0071060968587582235
