year,rows,stocks,days
1996,1826589,7998,254
1997,1883290,8144,253
1998,1831857,7943,252
1999,1708555,7617,252
2000,1653236,7235,252
2001,1481517,6523,248
2002,1365935,5810,252
2003,1262973,5404,252
2004,1221554,5198,252
2005,1207249,5140,252
2006,1183572,5056,251
2007,1164713,5039,251
2008,1134976,4733,253
2009,1053465,4456,252
2010,1011884,4263,252
2011,973454,4085,252
2012,932363,3936,250
2013,917944,3890,252
2014,938892,3973,252
2015,949929,3996,252
2016,923633,3902,252
2017,902688,3828,251
2018,901932,3811,251
2019,906151,3815,252
2020,912525,3919,253
2021,1027802,4558,252
2022,1106194,4610,251
2023,1041061,4419,250
2024,987277,4166,252
