venue,year,gb_on_disk,status,gb_billable,seconds,attempts
XASE.PILLAR,2024,0.006044097,cached,,,
XASE.PILLAR,2023,0.006582826,cached,,,
XASE.PILLAR,2022,0.007237577,cached,,,
XASE.PILLAR,2021,0.006639146,cached,,,
XASE.PILLAR,2020,0.005720547,cached,,,
XASE.PILLAR,2019,0.004741606,cached,,,
XASE.PILLAR,2018,0.002640417,cached,,,
XNAS.ITCH,2024,1.353038585,cached,,,
XNAS.ITCH,2023,1.343963277,cached,,,
XNAS.ITCH,2022,1.459591763,ok,2.93630128,138.0,1.0
XNAS.ITCH,2021,1.435526599,ok,2.86265696,389.0,1.0
XNAS.ITCH,2020,1.403830411,ok,2.82391712,467.0,1.0
XNAS.ITCH,2019,1.287976726,ok,2.64988224,357.0,1.0
XNAS.ITCH,2018,0.850218377,ok,1.8295096,293.0,1.0
XNYS.PILLAR,2024,2.870494216,ok,5.3407004,1353.0,1.0
XNYS.PILLAR,2023,2.906557971,ok,5.4072044,731.0,1.0
XNYS.PILLAR,2022,3.004145399,ok,5.5484036,488.0,1.0
XNYS.PILLAR,2021,2.952172228,ok,5.51777792,149.0,1.0
XNYS.PILLAR,2020,2.855770541,ok,,492.0,1.0
XNYS.PILLAR,2019,2.642642608,ok,5.12012464,541.0,1.0
XNYS.PILLAR,2018,1.790244422,ok,3.50473728,352.0,2.0
