month,candidates,after obs,after price,after size,after liquidity,after industry,eligible
1996-02-01,6944,0,0,0,0,0,0
1996-03-01,6977,0,0,0,0,0,0
1996-04-01,7029,0,0,0,0,0,0
1996-05-01,7078,0,0,0,0,0,0
1996-06-01,7147,0,0,0,0,0,0
1996-07-01,7209,6691,5311,2530,2434,2417,2410
1996-08-01,7247,6719,5175,2495,2392,2376,2369
1996-09-01,7278,6741,5227,2506,2402,2385,2382
1996-10-01,7303,6795,5273,2536,2429,2412,2409
1996-11-01,7372,6850,5237,2526,2419,2403,2400
1996-12-01,7419,6903,5279,2548,2439,2423,2420
1997-01-01,7425,6942,5271,2553,2438,2422,2419
1997-02-01,7426,6984,5396,2542,2431,2416,2409
1997-03-01,7440,6990,5360,2497,2384,2369,2362
1997-04-01,7436,7023,5283,2506,2387,2371,2365
1997-05-01,7441,7093,5266,2485,2372,2356,2345
1997-06-01,7442,7130,5372,2544,2444,2427,2416
1997-07-01,7444,7130,5400,2551,2450,2433,2422
1997-08-01,7438,7107,5408,2545,2444,2426,2419
1997-09-01,7417,7098,5467,2518,2426,2410,2395
1997-10-01,7411,7090,5576,2546,2452,2434,2419
1997-11-01,7435,7081,5506,2540,2447,2427,2416
1997-12-01,7464,7080,5442,2534,2438,2421,2410
1998-01-01,7420,7065,5315,2521,2420,2401,2390
1998-02-01,7394,7053,5318,2515,2413,2397,2390
1998-03-01,7380,7026,5360,2526,2432,2417,2410
1998-04-01,7343,7011,5428,2520,2419,2404,2398
1998-05-01,7342,7017,5457,2532,2437,2421,2415
1998-06-01,7335,7024,5405,2523,2426,2411,2405
1998-07-01,7311,6984,5273,2563,2455,2441,2435
1998-08-01,7291,6954,5164,2538,2425,2410,2404
1998-09-01,7256,6939,4774,2470,2349,2333,2328
1998-10-01,7183,6909,4808,2508,2394,2375,2371
1998-11-01,7083,6857,4823,2554,2447,2430,2426
1998-12-01,7045,6848,4928,2594,2489,2471,2458
1999-01-01,6980,6816,4889,2608,2503,2485,2475
1999-02-01,6933,6796,5013,2658,2555,2536,2526
1999-03-01,6901,6751,4874,2644,2545,2525,2512
1999-04-01,6823,6655,4740,2614,2520,2499,2486
1999-05-01,6798,6594,4839,2556,2465,2448,2436
1999-06-01,6787,6554,4861,2529,2441,2425,2413
1999-07-01,6770,6508,4848,2571,2479,2464,2452
1999-08-01,6756,6452,4834,2532,2449,2434,2419
1999-09-01,6729,6412,4731,2535,2448,2434,2419
1999-10-01,6696,6369,4647,2553,2465,2451,2439
1999-11-01,6692,6347,4599,2564,2476,2460,2453
1999-12-01,6664,6311,4692,2658,2571,2555,2545
2000-01-01,6645,6305,4784,2754,2668,2652,2641
2000-02-01,6606,6316,4892,2812,2728,2712,2700
2000-03-01,6611,6285,5017,2908,2818,2802,2790
2000-04-01,6602,6289,4969,2904,2816,2802,2791
2000-05-01,6615,6288,4715,2768,2680,2668,2654
2000-06-01,6600,6304,4579,2658,2574,2560,2546
2000-07-01,6572,6267,4609,2706,2623,2610,2596
2000-08-01,6573,6253,4530,2689,2608,2595,2580
2000-09-01,6577,6251,4574,2709,2628,2615,2601
2000-10-01,6542,6241,4454,2669,2580,2566,2551
2000-11-01,6480,6201,4285,2600,2513,2499,2486
2000-12-01,6421,6154,4010,2468,2380,2367,2353
2001-01-01,6345,6109,3927,2431,2348,2334,2316
2001-02-01,6272,6117,4211,2504,2432,2421,2403
2001-03-01,6223,6085,4037,2374,2307,2296,2274
2001-04-01,6171,6063,3904,2330,2266,2254,2237
2001-05-01,6089,5999,3931,2339,2273,2261,2246
2001-06-01,6018,5931,4019,2368,2300,2288,2273
2001-07-01,5955,5867,3997,2339,2275,2262,2242
2001-08-01,5900,5808,3927,2271,2210,2198,2182
2001-09-01,5816,5736,3835,2220,2162,2149,2125
2001-10-01,5775,5699,3609,2182,2114,2101,2074
2001-11-01,5734,5663,3675,2221,2156,2143,2116
2001-12-01,5675,5597,3748,2231,2167,2154,2126
2002-01-01,5638,5558,3815,2222,2149,2136,2110
2002-02-01,5598,5521,3804,2182,2115,2102,2076
2002-03-01,5560,5480,3693,2095,2028,2016,1990
2002-04-01,5519,5433,3774,2091,2027,2016,1990
2002-05-01,5482,5395,3734,2021,1957,1947,1920
2002-06-01,5456,5372,3681,1994,1928,1919,1891
2002-07-01,5433,5354,3576,1965,1897,1887,1859
2002-08-01,5395,5313,3375,1909,1838,1827,1802
2002-09-01,5342,5267,3353,1919,1847,1836,1810
2002-10-01,5311,5241,3228,1867,1801,1790,1760
2002-11-01,5271,5196,3264,1931,1858,1847,1813
2002-12-01,5252,5180,3383,1941,1876,1866,1833
2003-01-01,5214,5147,3333,1912,1845,1835,1803
2003-02-01,5179,5108,3300,1905,1839,1828,1795
2003-03-01,5141,5068,3248,1908,1845,1834,1801
2003-04-01,5084,5017,3233,1914,1849,1837,1806
2003-05-01,5053,4990,3331,1907,1848,1837,1811
2003-06-01,5024,4969,3488,1939,1882,1870,1844
2003-07-01,4993,4943,3562,1948,1894,1882,1855
2003-08-01,4966,4913,3634,1953,1896,1884,1856
2003-09-01,4935,4879,3670,1937,1883,1871,1840
2003-10-01,4921,4857,3704,1950,1898,1886,1859
2003-11-01,4905,4831,3785,1964,1908,1897,1866
2003-12-01,4897,4805,3801,1947,1888,1877,1845
2004-01-01,4882,4772,3803,1916,1865,1853,1823
2004-02-01,4875,4759,3890,1928,1876,1866,1837
2004-03-01,4875,4744,3888,1905,1850,1840,1813
2004-04-01,4871,4735,3871,1888,1831,1821,1795
2004-05-01,4851,4723,3814,1858,1803,1793,1768
2004-06-01,4847,4717,3801,1877,1823,1813,1787
2004-07-01,4842,4713,3807,1845,1790,1779,1753
2004-08-01,4841,4703,3700,1823,1771,1759,1734
2004-09-01,4835,4696,3663,1793,1738,1727,1702
2004-10-01,4829,4696,3710,1798,1742,1731,1706
2004-11-01,4828,4686,3703,1797,1737,1726,1704
2004-12-01,4823,4682,3769,1789,1734,1723,1696
2005-01-01,4821,4683,3833,1799,1743,1732,1710
2005-02-01,4809,4688,3787,1785,1723,1712,1690
2005-03-01,4813,4677,3780,1774,1712,1701,1679
2005-04-01,4804,4678,3752,1772,1711,1700,1674
2005-05-01,4801,4674,3646,1777,1719,1707,1682
2005-06-01,4790,4662,3678,1777,1720,1707,1680
