ff49,common_share,specific_share,n_obs
26,0.15829809028439412,0.8417019097156059,4103
1,0.19158825847225525,0.8084117415277448,1447
25,0.21418814488885363,0.7858118551111464,2372
42,0.22974516876171325,0.7702548312382868,7174
33,0.2539742798937933,0.7460257201062067,7174
6,0.25987727657493553,0.7401227234250645,6860
16,0.261738710673997,0.738261289326003,2142
4,0.26732450149224596,0.732675498507754,4362
44,0.2771067372744558,0.7228932627255442,7174
15,0.28742320139311395,0.712576798606886,6412
39,0.28886079006682874,0.7111392099331713,7174
47,0.3075410132996945,0.6924589867003055,6615
9,0.32438984629918266,0.6756101537008173,7174
2,0.3250409057255317,0.6749590942744683,7174
11,0.33014703245790367,0.6698529675420963,7168
20,0.3404423979043324,0.6595576020956676,2903
32,0.3543961487252898,0.6456038512747102,7174
34,0.35572285861852515,0.6442771413814748,7174
7,0.3561932260641987,0.6438067739358013,7161
40,0.36085086860161597,0.639149131398384,6859
10,0.3702639841283606,0.6297360158716394,7174
21,0.3771141547247161,0.6228858452752839,7174
12,0.3800779056526723,0.6199220943473277,7174
43,0.38283983004882094,0.6171601699511791,7174
38,0.3838778880636251,0.6161221119363749,7153
14,0.38462880367520147,0.6153711963247985,7168
19,0.4045856820813416,0.5954143179186584,7174
17,0.4052283217387471,0.5947716782612529,7174
13,0.40798472555502807,0.5920152744449719,7174
41,0.40804755466326137,0.5919524453367386,7174
46,0.4124893612295426,0.5875106387704574,7174
3,0.4161553801434845,0.5838446198565155,7174
28,0.4222689532148908,0.5777310467851092,6564
22,0.45389620302197364,0.5461037969780264,7174
5,0.45533363955364925,0.5446663604463508,2330
24,0.46247240419113156,0.5375275958088684,7174
18,0.4650534061647045,0.5349465938352955,7174
35,0.4659147820634363,0.5340852179365637,7174
27,0.4672896922201233,0.5327103077798767,1470
8,0.494184819894649,0.505815180105351,7125
36,0.5198721334582419,0.4801278665417581,7174
23,0.5264995373954922,0.4735004626045079,7170
31,0.5345424728122663,0.46545752718773364,7174
37,0.5499141011618378,0.45008589883816214,7174
48,0.636249056587417,0.36375094341258296,7174
30,0.6766747348969073,0.32332526510309273,7174
29,0.6976413276692053,0.3023586723307947,3186
45,0.7351126468618018,0.2648873531381982,7174
