signal,horizon,mean_ic,std_ic,t_stat,n_periods,pct_positive,ir
conditional_signal (common - shock),1,0.0005577808587430445,0.08799165421746198,0.5345865134558297,7112.0,0.4987345331833521,0.006339020032110643
conditional_signal (common - shock),5,-0.0016586789728976856,0.08749300094984602,-1.5983163272259846,7108.0,0.4918401800787845,-0.018957847540839262
conditional_signal (common - shock),10,-0.0010043049918992011,0.08573071197199116,-0.9873021852140977,7103.0,0.5013374630437843,-0.011714646581114535
conditional_signal (common - shock),20,0.0007538525959169915,0.08455575483588916,0.7508587458910759,7093.0,0.5136049626392217,0.008915449899064983
common_lag (continuation leg),1,0.00018344843757485556,0.11718339507983923,0.13202124222202216,7112.0,0.5046400449943758,0.0015654815040123111
common_lag (continuation leg),5,-0.0018410818747144541,0.11516468707766706,-1.3478062940260196,7108.0,0.49873382104670794,-0.01598651393436973
common_lag (continuation leg),10,0.0011271587846778074,0.11288568197276663,0.8415252401347341,7103.0,0.5065465296353653,0.009984957923625172
common_lag (continuation leg),20,0.0025388585284440352,0.11172934028083265,1.9137545976441732,7093.0,0.515578739602425,0.022723292933284962
"shock_lag (reversion leg, raw sign)",1,-0.0003417284801455356,0.076922765682064,-0.3746469130642737,7112.0,0.49775028121484816,-0.004442488216790885
"shock_lag (reversion leg, raw sign)",5,0.001622301751101395,0.07790516684867081,1.755654623310522,7108.0,0.5060495216657288,0.020824058489633722
"shock_lag (reversion leg, raw sign)",10,0.0012006509844504428,0.07650838381398678,1.3226004335697574,7103.0,0.5048571026326905,0.015693064270832856
"shock_lag (reversion leg, raw sign)",20,-0.0002780078480776103,0.07627460964159252,-0.3069672491413575,7093.0,0.49640490624559425,-0.003644828198845513
"leader_ret_lag (part 1 baseline, unconditional)",1,-0.0006673785628890859,0.09503742293394825,-0.5922069161926177,7112.0,0.4991563554555681,-0.007022271251535505
"leader_ret_lag (part 1 baseline, unconditional)",5,0.0001731563732047908,0.09431015117436069,0.15479386687843102,7108.0,0.5077377602701182,0.0018360311276000305
"leader_ret_lag (part 1 baseline, unconditional)",10,0.0007308868119803157,0.09233844066615601,0.6670962459111205,7103.0,0.5055610305504716,0.007915303818295917
"leader_ret_lag (part 1 baseline, unconditional)",20,0.0005997929843405802,0.09088130327835883,0.555829784649155,7093.0,0.5023262371352037,0.006599740130304736
"reversal_signal (naive, -own_lag)",1,0.006544004569348971,0.12520795803587295,4.426207823509549,7172.0,0.5284439486893474,0.05226508499942206
"reversal_signal (naive, -own_lag)",5,0.0102905699122961,0.11586726568918748,7.519304417893052,7168.0,0.5425502232142857,0.08881343536577817
"reversal_signal (naive, -own_lag)",10,0.00811325020656649,0.11077447083643716,6.198729156579816,7163.0,0.5291079156777886,0.07324115516242025
"reversal_signal (naive, -own_lag)",20,0.007270205452673029,0.10490737254307753,5.861176321944307,7153.0,0.5267719837830281,0.06930118709900684
